           y            x  z
 0.324056360  0.415449606  1
 0.202544394  1.127195505  2
 0.270302142  1.829614615  3
-0.617127963  1.040152350  4
-2.349423048 -0.492691178  5
-0.688607538  1.919708706  6
 1.082704672  0.034884895  7
-0.406516693  0.428368920  8
 0.689334087  0.654075740  9
-1.228816953  0.496640274 10
-1.529982624  0.493520150 11
 0.169021798 -0.716883200 12
-0.570870345 -0.541784567 13
 0.446792666 -0.006836994 14
 0.155431375  2.800847832 15
-0.023893601 -3.054991514 16
 0.328774082  0.526653910 17
-0.881700520  1.410921117 18
 0.276284090  0.261365100 19
-1.087914930 -1.172316528 20
 0.934573378  0.750829304  1
 0.254860937 -1.477879260  2
-1.076670794 -0.119399107  3
 0.620772602  0.715330112  4
-1.952390894  0.164122743  5
-0.275067802  0.847536385  6
-0.590791075 -1.019816105  7
 1.641263433  0.037578508  8
-0.016009922 -0.971765894  9
 0.255034637 -1.605553372 10
-0.785006839  0.529526442 11
-0.905080744 -1.011881948 12
 0.587647431  0.344608405 13
-0.199389398 -0.629532714 14
 0.712157649  2.138838567 15
 0.319506008 -0.908585456 16
-0.459873428 -1.432681322 17
-1.406414828  2.278364521 18
-0.168630998  0.203346540 19
-1.507709371 -0.783264420 20
 0.235924762  0.834287099  1
-0.154192732  0.849482890  2
 1.088859222 -0.939801998  3
-1.021024303  1.385943406  4
-0.914452297 -1.565304145  5
 1.273027589 -0.527809043  6
 0.416027927 -0.931955895  7
-0.419332402 -0.110807691  8
 0.320358100 -0.509251413  9
-0.807378617 -0.446864042 10
 0.251679581 -0.092240372 11
-1.976493924 -0.744894740 12
 0.149767604  0.182910167 13
 1.177022324  0.559983228 14
 0.519605761  0.578476744 15
-0.309807783 -1.393977354 16
-0.861624387  1.620841097 17
-0.281931689  0.566693622 18
 0.379661326 -0.214512265 19
-0.361934117 -0.818488314 20
 1.333638287 -0.221257335  1
 1.510176355 -0.452246302  2
 0.602997825  0.862741242  3
-0.234374341 -0.907853927  4
 0.570760861 -1.575447128  5
 0.505859833  0.332474721  6
 0.394248674 -0.308267869  7
 0.452932293 -0.439225665  8
-0.248561724 -1.595218214  9
 0.456706777  0.866810236 10
-0.105332728 -1.237536248 11
 0.890815072 -1.734968337 12
-1.172229407 -1.680619578 13
-0.455846065  0.192215743 14
 0.409204071 -1.337995755 15
 2.429402995  0.960339498 16
-0.463532257  0.045736897 17
 0.838174000  0.287980575 18
-0.807024494 -0.020129363 19
-0.989901897  1.033666489 20
-1.364271290  0.417860539  1
-1.282577827  1.203822703  2
 0.606811850 -0.606685855  3
 1.513635581  1.041324083  4
-0.067266388  1.423346860  5
 2.814214009 -1.044020608  6
-0.395565650 -1.160037775  7
 1.228444472  0.377303703  8
-0.028277394 -1.504278097  9
 1.293660266 -0.353604671 10
 0.640921344  0.149785891 11
 1.463213259 -0.387001994 12
-0.834738638 -0.875235207 13
 1.740926188  0.276718090 14
 0.711561484  1.459710811 15
 0.365831580 -0.592333857 16
 0.027890551 -1.853077798 17
 1.437172689 -0.248739982 18
-0.583380546 -0.319636695 19
-0.541149393  0.544520745 20
 0.719040481  0.017109593  1
